date,category,product,sales,profit,region
2023-01-15,Electronics,Laptop,4500,1200,North
2023-01-20,Electronics,Smartphone,3200,800,South
2023-01-25,Electronics,Tablet,2100,500,East
2023-02-05,Electronics,Laptop,3800,950,West
2023-02-10,Electronics,Smartphone,2900,720,North
2023-02-15,Electronics,Tablet,1800,430,South
2023-03-01,Clothing,T-shirt,1200,400,East
2023-03-05,Clothing,Jeans,1800,600,West
2023-03-10,Clothing,Dress,2200,750,North
2023-03-15,Clothing,Jacket,2800,950,South
2023-04-01,Home,Sofa,5500,1500,East
2023-04-10,Home,Bed,4800,1300,West
2023-04-15,Home,Table,2200,600,North
2023-04-20,Home,Chair,1500,400,South
2023-05-01,Books,Fiction,800,300,East
2023-05-10,Books,Non-fiction,950,350,West
2023-05-15,Books,Children,600,200,North
2023-05-20,Books,Educational,1100,400,South
2023-06-01,Electronics,Laptop,4200,1100,East
2023-06-10,Electronics,Smartphone,3500,850,West
2023-06-15,Electronics,Tablet,2300,550,North
2023-06-20,Clothing,T-shirt,1300,420,South
2023-07-01,Clothing,Jeans,1900,630,East
2023-07-10,Clothing,Dress,2400,800,West
2023-07-15,Home,Sofa,5200,1400,North
2023-07-20,Home,Bed,4500,1200,South
2023-08-01,Home,Table,2400,650,East
2023-08-10,Home,Chair,1600,420,West
2023-08-15,Books,Fiction,850,320,North
2023-08-20,Books,Non-fiction,1000,370,South
2023-09-01,Books,Children,650,220,East
2023-09-10,Books,Educational,1200,430,West
2023-09-15,Electronics,Laptop,4800,1250,North
2023-09-20,Electronics,Smartphone,3700,900,South
2023-10-01,Electronics,Tablet,2500,600,East
2023-10-10,Clothing,T-shirt,1400,450,West
2023-10-15,Clothing,Jeans,2000,660,North
2023-10-20,Clothing,Dress,2600,850,South
2023-11-01,Home,Sofa,5800,1550,East
2023-11-10,Home,Bed,5000,1350,West
2023-11-15,Home,Table,2600,700,North
2023-11-20,Home,Chair,1700,450,South
2023-12-01,Books,Fiction,900,340,East
2023-12-10,Books,Non-fiction,1100,400,West
2023-12-15,Books,Children,700,240,North
2023-12-20,Books,Educational,1300,460,South 
